num_workers,gpu,timestamp
4,0,1695222317.7797382
4,1,1695222358.4769511
4,2,1695222411.1067307
4,3,1695222460.7713392
4,4,1695222518.0291412
4,5,1695222568.60358
4,6,1695222637.5564556
4,7,1695222761.5753887
