timestamp,inner_time_ms,outer_time_ms,setup_time,cold_start,copy,concurrency
1695221778.5563102,1571.92,3943.49853,659.191,True,0,1
1695221782.5000958,1561.329,2328.8174,651.827,False,0,1
1695221784.8290892,1562.352,2332.55136,651.655,False,0,1
1695221787.16175,1571.086,2345.02962,655.825,False,0,2
1695221788.4940436,1585.193,2377.16104,673.59,False,1,2
1695221789.506877,1605.589,2436.68786,672.291,False,0,2
1695221790.8712778,1636.042,2405.44174,653.505,False,1,2
1695221791.9437497,1594.891,2416.01832,674.756,False,0,2
1695221793.2768843,1573.071,2345.31444,650.523,False,1,2
1695221794.3599942,1502.331,2267.81205,652.898,False,0,2
1695221795.6224008,1576.209,2346.92168,655.147,False,1,2
1695221796.6278925,1500.225,2266.41838,646.547,False,0,3
1695221797.969506,1651.241,2433.03281,658.14,False,1,3
1695221798.4949303,1910.47,2786.8455,713.809,False,2,3
1695221798.894408,2318.497,3146.55816,686.096,False,0,3
1695221800.402738,1631.495,2425.07297,667.201,False,1,3
1695221801.281846,1567.46,2427.78765,698.084,False,2,3
1695221802.041167,1635.18,2448.35634,668.357,False,0,3
1695221802.827914,1662.789,2456.58142,667.232,False,1,3
1695221803.7097044,1576.638,2419.77118,699.566,False,2,3
1695221804.4896023,1602.607,2418.79369,686.542,False,0,3
1695221805.2845767,1644.741,2435.53044,665.683,False,1,3
1695221806.129574,1636.319,2448.57466,670.962,False,2,4
1695221806.9085839,1672.735,2481.46475,676.851,False,0,4
1695221807.7202635,1677.153,2466.27154,666.418,False,1,4
1695221808.5088053,1672.817,2559.76277,721.812,False,3,4
1695221808.5782168,2405.081,3255.74668,721.641,False,2,4
1695221809.3901188,2472.469,3304.74426,677.468,False,0,4
1695221810.186735,2486.525,3278.30895,668.456,False,1,4
1695221811.0687466,2412.698,3259.18348,696.457,False,3,4
1695221811.8341193,2466.462,3267.67882,673.184,False,2,4
1695221812.694929,2402.287,3224.84882,687.428,False,0,4
1695221813.465109,2472.815,3301.17854,670.067,False,1,4
1695221814.328134,2409.776,3262.16402,698.244,False,3,4
1695221815.1019564,2467.657,3262.66795,669.45,False,2,4
