num_workers,gpu,timestamp
4,0,1695221778.5564
4,1,1695221819.1858
4,2,1695221870.9085
4,3,1695221928.5525
4,4,1695221978.6199
4,5,1695222028.8065
4,6,1695222091.5487
4,7,1695222210.555
